Tanggal,Location,Volume_Ton,RR,Rain_Lag_1,Rain_Lag_2,Is_Holiday,Ada_Event,Crowd_Scale,Hari_Ke,Is_Weekend,Hari_Dalam_Minggu,Bulan
2026-01-01,JIS,245.02472727272726,12.8,0.0,0.0,1,1,4.0,1,0,3,1
2026-01-01,GBK,179.05918181818183,12.8,0.0,0.0,1,1,4.0,1,0,3,1
2026-01-01,Pasar Senen,76.32270000000001,12.8,0.0,0.0,1,0,0.0,1,0,3,1
2026-01-01,Gang Sempit Tambora,13.105918181818183,12.8,0.0,0.0,1,0,0.0,1,0,3,1
2026-01-02,JIS,225.29127272727274,18.3,12.8,0.0,0,1,2.8,2,0,4,1
2026-01-02,GBK,163.43131818181817,18.3,12.8,0.0,0,1,2.8,2,0,4,1
2026-01-02,Pasar Senen,75.60765000000002,18.3,12.8,0.0,0,0,0.0,2,0,4,1
2026-01-02,Gang Sempit Tambora,12.98313181818182,18.3,12.8,0.0,0,0,0.0,2,0,4,1
2026-01-03,JIS,130.6345090909091,17.6,18.3,12.8,0,0,0.0,3,1,5,1
2026-01-03,GBK,101.34542272727272,17.6,18.3,12.8,0,0,0.0,3,1,5,1
2026-01-03,Pasar Senen,46.65518181818182,17.6,18.3,12.8,0,0,0.0,3,1,5,1
2026-01-03,Gang Sempit Tambora,8.812645454545455,17.6,18.3,12.8,0,0,0.0,3,1,5,1
2026-01-04,JIS,136.1510181818182,4.7,17.6,18.3,0,0,0.0,4,1,6,1
2026-01-04,GBK,105.62509545454546,4.7,17.6,18.3,0,0,0.0,4,1,6,1
2026-01-04,Pasar Senen,48.62536363636364,4.7,17.6,18.3,0,0,0.0,4,1,6,1
2026-01-04,Gang Sempit Tambora,9.18479090909091,4.7,17.6,18.3,0,0,0.0,4,1,6,1
2026-01-05,JIS,114.47454545454545,0.0,4.7,17.6,0,0,0.0,5,0,0,1
2026-01-05,GBK,81.08613636363636,0.0,4.7,17.6,0,0,0.0,5,0,0,1
2026-01-05,Pasar Senen,47.22075,0.0,4.7,17.6,0,0,0.0,5,0,0,1
2026-01-05,Gang Sempit Tambora,8.108613636363637,0.0,4.7,17.6,0,0,0.0,5,0,0,1
2026-01-06,JIS,119.78727272727274,0.0,0.0,4.7,0,0,0.0,6,0,1,1
2026-01-06,GBK,84.84931818181819,0.0,0.0,4.7,0,0,0.0,6,0,1,1
2026-01-06,Pasar Senen,49.41225000000001,0.0,0.0,4.7,0,0,0.0,6,0,1,1
2026-01-06,Gang Sempit Tambora,8.484931818181819,0.0,0.0,4.7,0,0,0.0,6,0,1,1
2026-01-07,JIS,126.16581818181818,11.0,0.0,0.0,0,0,0.0,7,0,2,1
2026-01-07,GBK,89.36745454545455,11.0,0.0,0.0,0,0,0.0,7,0,2,1
2026-01-07,Pasar Senen,52.043400000000005,11.0,0.0,0.0,0,0,0.0,7,0,2,1
2026-01-07,Gang Sempit Tambora,8.936745454545456,11.0,0.0,0.0,0,0,0.0,7,0,2,1
2026-01-08,JIS,121.4530909090909,6.2,11.0,0.0,0,0,0.0,8,0,3,1
2026-01-08,GBK,86.02927272727273,6.2,11.0,0.0,0,0,0.0,8,0,3,1
2026-01-08,Pasar Senen,50.09940000000001,6.2,11.0,0.0,0,0,0.0,8,0,3,1
2026-01-08,Gang Sempit Tambora,8.602927272727273,6.2,11.0,0.0,0,0,0.0,8,0,3,1
2026-01-09,JIS,117.69490909090909,0.0,6.2,11.0,0,0,0.0,9,0,4,1
2026-01-09,GBK,83.36722727272728,0.0,6.2,11.0,0,0,0.0,9,0,4,1
2026-01-09,Pasar Senen,48.54915000000001,0.0,6.2,11.0,0,0,0.0,9,0,4,1
2026-01-09,Gang Sempit Tambora,8.33672272727273,0.0,6.2,11.0,0,0,0.0,9,0,4,1
2026-01-10,JIS,130.6242,0.0,0.0,6.2,0,0,0.0,10,1,5,1
2026-01-10,GBK,101.337425,0.0,0.0,6.2,0,0,0.0,10,1,5,1
2026-01-10,Pasar Senen,46.651500000000006,0.0,0.0,6.2,0,0,0.0,10,1,5,1
2026-01-10,Gang Sempit Tambora,8.811950000000001,0.0,0.0,6.2,0,0,0.0,10,1,5,1
2026-01-11,JIS,146.20467272727274,0.2,0.0,0.0,0,0,0.0,11,1,6,1
2026-01-11,GBK,113.42465681818182,0.2,0.0,0.0,0,0,0.0,11,1,6,1
2026-01-11,Pasar Senen,52.215954545454544,0.2,0.0,0.0,0,0,0.0,11,1,6,1
2026-01-11,Gang Sempit Tambora,9.863013636363636,0.2,0.0,0.0,0,0,0.0,11,1,6,1
2026-01-12,JIS,120.552,0.0,0.2,0.0,0,0,0.0,12,0,0,1
2026-01-12,GBK,85.391,0.0,0.2,0.0,0,0,0.0,12,0,0,1
2026-01-12,Pasar Senen,49.727700000000006,0.0,0.2,0.0,0,0,0.0,12,0,0,1
2026-01-12,Gang Sempit Tambora,8.539100000000001,0.0,0.2,0.0,0,0,0.0,12,0,0,1
2026-01-13,JIS,113.31709090909091,0.0,0.0,0.2,0,0,0.0,13,0,1,1
2026-01-13,GBK,80.26627272727274,0.0,0.0,0.2,0,0,0.0,13,0,1,1
2026-01-13,Pasar Senen,46.743300000000005,0.0,0.0,0.2,0,0,0.0,13,0,1,1
2026-01-13,Gang Sempit Tambora,8.026627272727273,0.0,0.0,0.2,0,0,0.0,13,0,1,1
2026-01-14,JIS,113.76872727272728,6.3,0.0,0.0,0,0,0.0,14,0,2,1
2026-01-14,GBK,80.58618181818181,6.3,0.0,0.0,0,0,0.0,14,0,2,1
2026-01-14,Pasar Senen,46.9296,6.3,0.0,0.0,0,0,0.0,14,0,2,1
2026-01-14,Gang Sempit Tambora,8.058618181818183,6.3,0.0,0.0,0,0,0.0,14,0,2,1
2026-01-15,JIS,113.76763636363637,6.6,6.3,0.0,0,0,0.0,15,0,3,1
2026-01-15,GBK,80.5854090909091,6.6,6.3,0.0,0,0,0.0,15,0,3,1
2026-01-15,Pasar Senen,46.92915000000001,6.6,6.3,0.0,0,0,0.0,15,0,3,1
2026-01-15,Gang Sempit Tambora,8.05854090909091,6.6,6.3,0.0,0,0,0.0,15,0,3,1
2026-01-16,JIS,120.18763636363636,0.0,6.6,6.3,0,0,0.0,16,0,4,1
2026-01-16,GBK,85.1329090909091,0.0,6.6,6.3,0,0,0.0,16,0,4,1
2026-01-16,Pasar Senen,49.577400000000004,0.0,6.6,6.3,0,0,0.0,16,0,4,1
2026-01-16,Gang Sempit Tambora,8.51329090909091,0.0,6.6,6.3,0,0,0.0,16,0,4,1
2026-01-17,JIS,129.70783636363637,0.0,0.0,6.6,0,0,0.0,17,1,5,1
2026-01-17,GBK,100.62651590909091,0.0,0.0,6.6,0,0,0.0,17,1,5,1
2026-01-17,Pasar Senen,46.32422727272728,0.0,0.0,6.6,0,0,0.0,17,1,5,1
2026-01-17,Gang Sempit Tambora,8.750131818181819,0.0,0.0,6.6,0,0,0.0,17,1,5,1
2026-01-18,JIS,190.75140000000002,4.1,0.0,0.0,0,1,1.5,18,1,6,1
2026-01-18,GBK,150.3556,4.1,0.0,0.0,0,1,1.5,18,1,6,1
2026-01-18,Pasar Senen,59.68800000000001,4.1,0.0,0.0,0,0,0.0,18,1,6,1
2026-01-18,Gang Sempit Tambora,11.274400000000002,4.1,0.0,0.0,0,0,0.0,18,1,6,1
2026-01-19,JIS,123.47563636363637,0.0,4.1,0.0,0,0,0.0,19,0,0,1
2026-01-19,GBK,87.4619090909091,0.0,4.1,0.0,0,0,0.0,19,0,0,1
2026-01-19,Pasar Senen,50.93370000000001,0.0,4.1,0.0,0,0,0.0,19,0,0,1
2026-01-19,Gang Sempit Tambora,8.74619090909091,0.0,4.1,0.0,0,0,0.0,19,0,0,1
2026-01-20,JIS,128.07490909090907,0.0,0.0,4.1,0,0,0.0,20,0,1,1
2026-01-20,GBK,90.71972727272727,0.0,0.0,4.1,0,0,0.0,20,0,1,1
