Tanggal,Location,City,Population_Jiwa,Normal_Avg_Ton,Zone_Type,Rainfall_mm,Rain_Lag_1,Is_Weekend,Hari_Dalam_Minggu,Bulan,Is_Mudik,Ada_Event,Event_Crowd_Headcount,Volume_Sampah_Ton
2024-01-01,Menteng,Jakarta Pusat,88000,135.5,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,157.55
2024-01-01,Senen,Jakarta Pusat,128000,203.4,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,263.35
2024-01-01,Cempaka Putih,Jakarta Pusat,96000,101.7,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,117.52
2024-01-01,Johar Baru,Jakarta Pusat,130000,79.1,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,95.1
2024-01-01,Kemayoran,Jakarta Pusat,255000,203.4,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,253.77
2024-01-01,Sawah Besar,Jakarta Pusat,126000,124.3,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,152.86
2024-01-01,Tanah Abang,Jakarta Pusat,175000,282.4,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,375.4
2024-01-01,Gambir,Jakarta Pusat,97000,169.5,Pusat Komersial,54.2,0.0,0,0,1,0,1,120000.0,226.74
2024-01-01,Penjaringan,Jakarta Utara,312000,316.4,Pesisir & Pelabuhan,54.2,0.0,0,0,1,0,0,0.0,381.1
2024-01-01,Tanjung Priok,Jakarta Utara,415000,293.8,Pesisir & Pelabuhan,54.2,0.0,0,0,1,0,0,0.0,340.53
2024-01-01,Koja,Jakarta Utara,330000,214.7,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,216.71
2024-01-01,Cilincing,Jakarta Utara,430000,327.7,Industri & Pergudangan,54.2,0.0,0,0,1,0,0,0.0,357.49
2024-01-01,Pademangan,Jakarta Utara,168000,158.2,Pariwisata & Olahraga,54.2,0.0,0,0,1,0,0,0.0,174.65
2024-01-01,Kelapa Gading,Jakarta Utara,143000,214.7,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,253.33
2024-01-01,Cengkareng,Jakarta Barat,592000,384.2,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,407.27
2024-01-01,Grogol Petamburan,Jakarta Barat,240000,248.6,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,277.28
2024-01-01,Kalideres,Jakarta Barat,460000,293.8,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,332.85
2024-01-01,Kebon Jeruk,Jakarta Barat,380000,237.3,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,273.62
2024-01-01,Kembangan,Jakarta Barat,310000,203.4,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,254.61
2024-01-01,Palmerah,Jakarta Barat,205000,180.8,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,191.76
2024-01-01,Taman Sari,Jakarta Barat,125000,113.0,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,133.44
2024-01-01,Tambora,Jakarta Barat,270000,90.4,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,97.05
2024-01-01,Cilandak,Jakarta Selatan,215000,203.4,Permukiman Menengah,54.2,0.0,0,0,1,0,0,0.0,266.2
2024-01-01,Jagakarsa,Jakarta Selatan,390000,248.6,Permukiman Menengah,54.2,0.0,0,0,1,0,0,0.0,269.91
2024-01-01,Kebayoran Baru,Jakarta Selatan,145000,237.3,Pariwisata & Olahraga,54.2,0.0,0,0,1,0,0,0.0,290.23
2024-01-01,Kebayoran Lama,Jakarta Selatan,310000,259.9,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,326.72
2024-01-01,Mampang Prapatan,Jakarta Selatan,150000,135.6,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,157.59
2024-01-01,Pancoran,Jakarta Selatan,170000,146.9,Permukiman Menengah,54.2,0.0,0,0,1,0,0,0.0,160.95
2024-01-01,Pasar Minggu,Jakarta Selatan,315000,271.2,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,334.96
2024-01-01,Pesanggrahan,Jakarta Selatan,250000,180.8,Permukiman Menengah,54.2,0.0,0,0,1,0,0,0.0,196.85
2024-01-01,Setiabudi,Jakarta Selatan,110000,214.7,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,280.69
2024-01-01,Tebet,Jakarta Selatan,220000,192.1,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,226.22
2024-01-01,Cakung,Jakarta Timur,559000,395.5,Industri & Pergudangan,54.2,0.0,0,0,1,0,0,0.0,454.13
2024-01-01,Cipayung,Jakarta Timur,290000,158.2,Permukiman Menengah,54.2,0.0,0,0,1,0,0,0.0,187.15
2024-01-01,Ciracas,Jakarta Timur,310000,214.7,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,247.06
2024-01-01,Duren Sawit,Jakarta Timur,420000,339.0,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,346.4
2024-01-01,Jatinegara,Jakarta Timur,315000,271.2,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,312.31
2024-01-01,Kramat Jati,Jakarta Timur,300000,248.6,Pusat Komersial,54.2,0.0,0,0,1,0,0,0.0,309.03
2024-01-01,Makasar,Jakarta Timur,210000,180.8,Permukiman Menengah,54.2,0.0,0,0,1,0,0,0.0,196.99
2024-01-01,Matraman,Jakarta Timur,175000,146.9,Permukiman Padat,54.2,0.0,0,0,1,0,0,0.0,162.53
